Date,AVG_1,AVG_2
2020-07-06,220.51600189208983,220.4215003967285
2020-07-07,222.452001953125,221.44400024414062
2020-07-08,223.96200103759764,222.31949996948242
2020-07-09,226.8550003051758,224.16749954223633
2020-07-10,230.39099884033203,226.06249923706054
2020-07-13,234.2759994506836,228.3509994506836
2020-07-14,237.87199859619142,230.05249938964843
2020-07-15,241.22799835205078,231.62999954223633
2020-07-16,244.5789993286133,232.95950012207032
2020-07-17,247.23399963378907,233.87200012207032
2020-07-20,249.58799896240234,235.0520004272461
2020-07-21,251.06899871826172,236.76050033569337
2020-07-22,253.20799865722657,238.58499984741212
2020-07-23,252.60999908447266,239.7324996948242
2020-07-24,251.64000091552734,241.0154998779297
2020-07-27,250.43899993896486,242.3574996948242
2020-07-28,250.35800018310547,244.11499938964843
2020-07-29,250.40500030517578,245.81649932861328
2020-07-30,250.72899932861327,247.65399932861328
2020-07-31,251.75299987792968,249.49349975585938
2020-08-03,252.14100036621093,250.86449966430663
2020-08-04,252.4540008544922,251.76149978637696
2020-08-05,252.88400268554688,253.0460006713867
2020-08-06,254.2050033569336,253.40750122070312
2020-08-07,255.58500213623046,253.6125015258789
2020-08-10,255.89500274658204,253.16700134277343
2020-08-11,255.62200317382812,252.9900016784668
2020-08-12,255.5590026855469,252.98200149536132
2020-08-13,255.83300323486327,253.28100128173827
2020-08-14,255.93100280761718,253.84200134277344
2020-08-17,256.2260025024414,254.18350143432616
2020-08-18,256.1280014038086,254.2910011291504
2020-08-19,255.8280014038086,254.35600204467772
2020-08-20,255.39600067138673,254.80050201416014
2020-08-21,254.6250015258789,255.1050018310547
2020-08-24,255.99499969482423,255.94500122070312
2020-08-25,258.7839981079102,257.20300064086916
2020-08-26,262.5419982910156,259.0505004882813
2020-08-27,266.2189971923828,261.02600021362304
2020-08-28,269.2639984130859,262.5975006103516
2020-08-31,272.7669982910156,264.4965003967285
2020-09-01,275.7739990234375,265.95100021362305
2020-09-02,279.65399780273435,267.74099960327146
2020-09-03,283.2019989013672,269.29899978637695
2020-09-04,285.6549987792969,270.1400001525879
2020-09-08,287.21400146484376,271.604500579834
2020-09-09,286.61400146484374,272.69899978637693
2020-09-10,285.32900085449216,273.9354995727539
2020-09-11,282.88800048828125,274.55349884033205
2020-09-14,281.6319976806641,275.447998046875
2020-09-15,280.1419982910156,276.4544982910156
2020-09-16,279.23499755859376,277.50449829101564
2020-09-17,277.2489990234375,278.4514984130859
2020-09-18,275.21399841308596,279.20799865722654
2020-09-21,274.2049987792969,279.92999877929685
2020-09-22,273.447998046875,280.33099975585935
2020-09-23,273.975,280.29450073242185
2020-09-24,273.9550018310547,279.6420013427734
2020-09-25,274.1730041503906,278.53050231933594
2020-09-28,274.1210052490234,277.8765014648437
2020-09-29,274.3120056152344,277.227001953125
2020-09-30,274.20900573730466,276.72200164794924
2020-10-01,275.7930053710937,276.5210021972656
2020-10-02,277.2260040283203,276.2200012207031
2020-10-05,278.8020050048828,276.50350189208984
2020-10-06,280.24700317382815,276.8475006103516
2020-10-07,281.9570037841797,277.9660018920898
2020-10-08,284.31200256347654,279.1335021972656
2020-10-09,287.39300231933595,280.78300323486326
2020-10-12,290.25800170898435,282.1895034790039
2020-10-13,293.29100036621094,283.80150299072267
2020-10-14,296.4760009765625,285.3425033569336
2020-10-15,297.1820007324219,286.4875030517578
2020-10-16,298.1230010986328,287.67450256347655
2020-10-19,300.03699951171876,289.4195022583008
2020-10-20,301.73900146484374,290.9930023193359
2020-10-21,303.4809997558594,292.71900177001953
2020-10-22,304.6279998779297,294.4700012207031
2020-10-23,305.2019989013672,296.29750061035156
2020-10-26,306.2200012207031,298.23900146484374
2020-10-27,306.2730010986328,299.78200073242186
2020-10-28,307.1090026855469,301.79250183105466
2020-10-29,307.7990020751953,302.4905014038086
2020-10-30,309.1090026855469,303.61600189208986
2020-11-02,308.8470031738281,304.44200134277344
2020-11-03,309.402001953125,305.57050170898435
2020-11-04,306.9780029296875,305.22950134277346
2020-11-05,305.752001953125,305.1900009155273
2020-11-06,303.8990020751953,304.5505004882813
2020-11-09,302.902001953125,304.5610015869141
2020-11-10,301.26800231933595,303.7705017089844
2020-11-11,296.2080017089844,301.65850219726565
2020-11-12,291.9790008544922,299.8890014648438
2020-11-13,287.1540008544922,298.13150177001955
2020-11-16,282.7690002441406,295.80800170898436
2020-11-17,277.51600036621096,293.459001159668
2020-11-18,274.6389984130859,290.8085006713867
2020-11-19,270.65099945068357,288.2015007019043
2020-11-20,267.86500091552733,285.88200149536135
2020-11-23,264.9439987182617,283.92300033569336
2020-11-24,262.9019973754883,282.0849998474121
2020-11-25,264.2439956665039,280.22599868774415
2020-11-27,265.4509963989258,278.71499862670896
2020-11-30,266.6679977416992,276.9109992980957
2020-12-01,266.9199966430664,274.8444984436035
2020-12-02,267.48999786376953,272.50299911499025
2020-12-03,267.9419998168945,271.2904991149902
2020-12-04,269.05,269.8504997253418
2020-12-07,269.78599853515624,268.8254997253418
2020-12-08,269.11199951171875,267.0279991149902
2020-12-09,268.7100006103516,265.8059989929199
2020-12-10,267.0940002441406,265.66899795532225
2020-12-11,265.8089996337891,265.62999801635743
2020-12-14,264.61499938964846,265.6414985656738
2020-12-15,263.8820007324219,265.40099868774416
2020-12-16,262.9919998168945,265.24099884033205
2020-12-17,263.0490005493164,265.4955001831055
2020-12-18,262.8009994506836,265.9254997253418
2020-12-21,262.0759994506836,265.9309989929199
2020-12-22,261.71899871826173,265.4154991149902
2020-12-23,260.6929992675781,264.70149993896484
2020-12-24,259.9309997558594,263.5125
2020-12-28,255.6440002441406,260.7264999389648
2020-12-29,251.4259994506836,258.020499420166
2020-12-30,249.4489990234375,256.6654998779297
2020-12-31,247.7769989013672,255.38449935913087
